date,l,m,h,na,sum
2006-02-06,0,0,0,5,5
2006-02-07,0,0,0,6,6
2006-02-08,0,0,0,9,9
2006-02-09,0,0,0,15,15
2006-02-10,0,0,0,4,4
2006-02-11,0,0,0,2,2
2006-02-12,0,0,0,6,6
2006-02-13,0,0,0,5,5
2006-02-14,0,0,0,9,9
2006-02-15,0,0,0,1,1
2006-02-16,0,0,0,2,2
2006-02-20,0,0,0,1,1
2006-02-21,0,0,0,1,1
2006-02-22,0,0,0,13,13
2006-02-23,0,0,0,2,2
2006-02-24,0,0,0,1,1
2006-02-25,0,0,0,1,1
2006-02-27,0,0,0,4,4
2006-02-28,0,0,0,4,4
2006-03-01,0,0,0,2,2
2006-03-02,0,0,0,1,1
2006-03-03,0,0,0,8,8
2006-03-04,0,0,0,16,16
2006-03-05,0,0,0,2,2
2006-03-06,0,0,0,2,2
2006-03-07,0,0,0,4,4
2006-03-09,0,0,0,2,2
2006-03-10,0,0,0,2,2
2006-03-11,0,0,0,4,4
2006-03-12,0,0,0,6,6
2006-03-13,0,0,0,6,6
2006-03-14,0,0,0,1,1
2006-03-15,0,0,0,6,6
2006-03-16,0,0,0,8,8
2006-03-17,0,0,0,8,8
2006-03-18,0,0,0,3,3
2006-03-19,0,0,0,2,2
2006-03-20,0,0,0,1,1
2006-03-21,0,0,0,5,5
2006-03-22,0,0,0,1,1
2006-03-23,0,0,0,2,2
2006-03-24,0,0,0,6,6
2006-03-25,0,0,0,5,5
2006-03-26,0,0,0,1,1
2006-03-28,0,0,0,2,2
2006-03-29,0,0,0,3,3
2006-03-30,0,0,0,8,8
2006-03-31,0,0,0,8,8
2006-04-02,0,0,0,2,2
2006-04-03,0,0,0,1,1
2006-04-04,0,0,0,2,2
2006-04-05,0,0,0,4,4
2006-04-06,0,0,0,6,6
2006-04-07,0,0,0,15,15
2006-04-08,0,0,0,8,8
2006-04-09,0,0,0,12,12
2006-04-10,0,0,0,2,2
2006-04-11,0,0,0,6,6
2006-04-12,0,0,0,18,18
2006-04-13,0,0,0,100,100
2006-04-14,0,0,0,129,129
2006-04-15,0,0,0,10,10
2006-04-16,0,0,0,17,17
2006-04-17,0,0,0,27,27
2006-04-18,0,0,0,52,52
2006-04-19,0,0,0,101,101
2006-04-20,0,0,0,66,66
2006-04-21,0,0,0,127,127
2006-04-22,0,0,0,73,73
2006-04-23,0,0,0,53,53
2006-04-24,0,0,0,61,61
2006-04-25,0,0,0,22,22
2006-04-26,0,0,0,34,34
2006-04-27,0,0,0,55,55
2006-04-28,0,0,0,86,86
2006-04-29,0,0,0,46,46
2006-04-30,0,0,0,37,37
2006-05-01,0,0,0,15,15
2006-05-02,0,0,0,16,16
2006-05-03,0,0,0,50,50
2006-05-04,0,0,0,99,99
2006-05-05,0,0,0,110,110
2006-05-06,0,0,0,116,116
2006-05-07,0,0,0,102,102
2006-05-08,0,0,0,164,164
2006-05-09,0,0,0,220,220
2006-05-10,0,0,0,162,162
2006-05-11,0,0,0,2,2
2006-05-12,0,0,0,9,9
2006-05-13,0,0,0,151,151
2006-05-14,0,0,0,126,126
2006-05-15,0,0,0,7,7
2006-05-16,0,0,0,12,12
2006-05-17,0,0,0,36,36
2006-05-18,0,0,0,48,48
2006-05-19,0,0,0,47,47
2006-05-20,0,0,0,57,57
2006-05-21,0,0,0,70,70
2006-05-22,0,0,0,235,235
2006-05-23,0,0,0,162,162
2006-05-24,0,0,0,114,114
2006-05-25,0,0,0,21,21
2006-05-26,0,0,0,7,7
2006-05-27,0,0,0,9,9
2006-05-28,0,0,0,11,11
2006-05-29,0,0,0,1,1
2006-05-30,0,0,0,4,4
2006-05-31,0,0,0,20,20
2006-06-01,0,0,0,21,21
2006-06-03,0,0,0,41,41
2006-06-04,0,0,0,75,75
2006-06-05,0,0,0,61,61
2006-06-06,0,0,0,51,51
2006-06-07,0,0,0,37,37
2006-06-08,0,0,0,11,11
2006-06-09,0,0,0,7,7
2006-06-10,0,0,0,8,8
2006-06-11,0,0,0,10,10
2006-06-12,0,0,0,5,5
2006-06-13,0,0,0,5,5
2006-06-14,0,0,0,29,29
2006-06-15,0,0,0,17,17
2006-06-16,0,0,0,13,13
2006-06-17,0,0,0,49,49
2006-06-18,0,0,0,41,41
2006-06-19,0,0,0,72,72
2006-06-20,0,0,0,131,131
2006-06-21,0,0,0,110,110
2006-06-22,0,0,0,50,50
2006-06-23,0,0,0,20,20
2006-06-24,0,0,0,32,32
2006-06-25,0,0,0,104,104
2006-06-26,0,0,0,93,93
2006-06-27,0,0,0,162,162
2006-06-28,0,0,0,360,360
2006-06-29,0,0,0,470,470
2006-06-30,0,0,0,285,285
2006-07-01,0,0,0,276,276
2006-07-02,0,0,0,191,191
2006-07-03,0,0,0,393,393
2006-07-04,0,0,0,399,399
2006-07-05,0,0,0,256,256
2006-07-06,0,0,0,331,331
2006-07-07,0,0,0,350,350
2006-07-08,0,0,0,198,198
2006-07-09,0,0,0,171,171
2006-07-10,0,0,0,2,2
2006-07-11,0,0,0,5,5
2006-07-12,0,0,0,39,39
2006-07-13,0,0,0,76,76
2006-07-14,0,0,0,54,54
2006-07-16,0,0,0,175,175
2006-07-17,0,0,0,259,259
2006-07-18,0,0,0,240,240
2006-07-19,0,0,0,240,240
2006-07-20,0,0,0,71,71
2006-07-21,0,0,0,41,41
2006-07-22,0,0,0,62,62
2006-07-23,0,0,0,118,118
2006-07-24,0,0,0,136,136
2006-07-25,0,0,0,172,172
2006-07-26,0,0,0,190,190
2006-07-27,0,0,0,199,199
2006-07-28,0,0,0,146,146
2006-07-29,0,0,0,131,131
2006-07-30,0,0,0,242,242
2006-07-31,0,0,0,239,239
2006-08-01,0,0,0,48,48
2006-08-02,0,0,0,23,23
2006-08-03,0,0,0,133,133
2006-08-04,0,0,0,122,122
2006-08-05,0,0,0,76,76
2006-08-06,0,0,0,109,109
2006-08-07,0,0,0,28,28
2006-08-08,0,0,0,62,62
2006-08-09,0,0,0,89,89
2006-08-10,0,0,0,9,9
2006-08-11,0,0,0,42,42
2006-08-12,0,0,0,34,34
2006-08-13,0,0,0,38,38
2006-08-14,0,0,0,83,83
2006-08-15,0,0,0,167,167
2006-08-16,0,0,0,85,85
2006-08-17,0,0,0,102,102
2006-08-18,0,0,0,68,68
2006-08-19,0,0,0,67,67
2006-08-20,0,0,0,84,84
2006-08-21,0,0,0,112,112
2006-08-22,0,0,0,166,166
2006-08-23,0,0,0,231,231
2006-08-24,0,0,0,215,215
2006-08-25,0,0,0,41,41
2006-08-26,0,0,0,64,64
2006-08-27,0,0,0,35,35
2006-08-28,0,0,0,66,66
2006-08-29,0,0,0,85,85
2006-08-30,0,0,0,107,107
2006-08-31,0,0,0,168,168
2006-09-01,0,0,0,98,98
2006-09-02,0,0,0,124,124
2006-09-03,0,0,0,93,93
2006-09-04,0,0,0,90,90
2006-09-05,0,0,0,184,184
2006-09-06,0,0,0,369,369
2006-09-07,0,0,0,545,545
2006-09-08,0,0,0,308,308
2006-09-09,0,0,0,79,79
2006-09-10,0,0,0,124,124
2006-09-11,0,0,0,69,69
2006-09-12,0,0,0,129,129
2006-09-13,0,0,0,103,103
2006-09-14,0,0,0,81,81
2006-09-15,0,0,0,114,114
2006-09-16,0,0,0,108,108
2006-09-17,0,0,0,15,15
2006-09-18,0,0,0,22,22
2006-09-19,0,0,0,9,9
2006-09-20,0,0,0,65,65
2006-09-21,0,0,0,37,37
2006-09-22,0,0,0,63,63
2006-09-23,0,0,0,32,32
2006-09-24,0,0,0,44,44
2006-09-25,0,0,0,54,54
2006-09-26,0,0,0,50,50
2006-09-27,0,0,0,58,58
2006-09-28,0,0,0,82,82
2006-09-29,0,0,0,67,67
2006-09-30,0,0,0,43,43
2006-10-01,0,0,0,32,32
2006-10-02,0,0,0,11,11
2006-10-03,0,0,0,3,3
2006-10-04,0,0,0,4,4
2006-10-05,0,0,0,1,1
2006-10-06,0,0,0,52,52
2006-10-07,0,0,0,16,16
2006-10-08,0,0,0,3,3
2006-10-09,0,0,0,22,22
2006-10-10,0,0,0,22,22
2006-10-11,0,0,0,7,7
2006-10-12,0,0,0,12,12
2006-10-13,0,0,0,23,23
2006-10-14,0,0,0,32,32
2006-10-16,0,0,0,1,1
2006-10-18,0,0,0,1,1
2006-10-19,0,0,0,3,3
2006-10-20,0,0,0,2,2
2006-10-21,0,0,0,4,4
2006-10-22,0,0,0,5,5
2006-10-23,0,0,0,4,4
2006-10-24,0,0,0,4,4
2006-10-25,0,0,0,1,1
2006-10-26,0,0,0,10,10
2006-10-27,0,0,0,12,12
2006-10-28,0,0,0,40,40
2006-10-29,0,0,0,3,3
2006-10-30,0,0,0,27,27
2006-10-31,0,0,0,8,8
2006-11-01,0,0,0,2,2
2006-11-06,0,0,0,2,2
2006-11-08,0,0,0,2,2
2006-11-09,0,0,0,1,1
2006-11-10,0,0,0,1,1
2006-11-11,0,0,0,1,1
2006-11-12,0,0,0,1,1
2006-11-17,0,0,0,3,3
2006-11-18,0,0,0,2,2
2006-11-19,0,0,0,1,1
2006-11-20,0,0,0,2,2
2006-11-21,0,0,0,4,4
2006-11-22,0,0,0,1,1
2006-11-23,0,0,0,1,1
2006-11-24,0,0,0,1,1
2006-12-01,0,0,0,1,1
2006-12-02,0,0,0,1,1
2006-12-03,0,0,0,4,4
2006-12-04,0,0,0,4,4
2006-12-05,0,0,0,3,3
2006-12-07,0,0,0,1,1
2006-12-08,0,0,0,3,3
2006-12-09,0,0,0,2,2
2006-12-11,0,0,0,1,1
2006-12-13,0,0,0,1,1
2006-12-15,0,0,0,1,1
2006-12-17,0,0,0,1,1
2006-12-19,0,0,0,1,1
2006-12-23,0,0,0,1,1
2006-12-27,0,0,0,2,2
2007-01-02,0,0,0,1,1
2007-01-04,0,0,0,1,1
2007-01-05,0,0,0,2,2
2007-01-06,0,0,0,3,3
2007-01-07,0,0,0,4,4
2007-01-11,0,0,0,1,1
2007-01-13,0,0,0,2,2
2007-01-14,0,0,0,2,2
2007-01-15,0,0,0,1,1
2007-01-23,0,0,0,1,1
2007-01-24,0,0,0,2,2
2007-01-25,0,0,0,4,4
2007-01-26,0,0,0,5,5
2007-01-27,0,0,0,3,3
2007-01-28,0,0,0,1,1
2007-01-29,0,0,0,3,3
2007-01-30,0,0,0,5,5
2007-01-31,0,0,0,2,2
2007-02-01,0,0,0,1,1
2007-02-02,0,0,0,1,1
2007-02-03,0,0,0,1,1
2007-02-06,0,0,0,2,2
2007-02-07,0,0,0,6,6
2007-02-08,0,0,0,2,2
2007-02-09,0,0,0,1,1
2007-02-12,0,0,0,1,1
2007-02-13,0,0,0,1,1
2007-02-14,0,0,0,3,3
2007-02-16,0,0,0,1,1
2007-02-17,0,0,0,6,6
2007-02-18,0,0,0,4,4
2007-02-19,0,0,0,3,3
2007-02-20,0,0,0,2,2
2007-02-21,0,0,0,9,9
2007-02-22,0,0,0,7,7
2007-02-23,0,0,0,1,1
2007-02-25,0,0,0,1,1
2007-02-26,0,0,0,4,4
2007-02-27,0,0,0,9,9
2007-03-01,0,0,0,1,1
2007-03-02,0,0,0,1,1
2007-03-03,0,0,0,3,3
2007-03-04,0,0,0,1,1
2007-03-05,0,0,0,16,16
2007-03-06,0,0,0,8,8
2007-03-07,0,0,0,11,11
2007-03-08,0,0,0,4,4
2007-03-09,0,0,0,2,2
2007-03-10,0,0,0,5,5
2007-03-11,0,0,0,2,2
2007-03-12,0,0,0,5,5
2007-03-13,0,0,0,2,2
2007-03-14,0,0,0,1,1
2007-03-16,0,0,0,6,6
2007-03-17,0,0,0,4,4
2007-03-18,0,0,0,2,2
2007-03-19,0,0,0,5,5
2007-03-20,0,0,0,7,7
2007-03-21,0,0,0,3,3
2007-03-23,0,0,0,4,4
2007-03-24,0,0,0,2,2
2007-03-25,0,0,0,1,1
2007-03-26,0,0,0,1,1
2007-03-27,0,0,0,1,1
2007-03-28,0,0,0,1,1
2007-04-01,0,0,0,1,1
2007-04-02,0,0,0,4,4
2007-04-03,0,0,0,3,3
2007-04-04,0,0,0,10,10
2007-04-05,0,0,0,3,3
2007-04-06,0,0,0,6,6
2007-04-07,0,0,0,8,8
2007-04-08,0,0,0,1,1
2007-04-09,0,0,0,1,1
2007-04-12,0,0,0,2,2
2007-04-13,0,0,0,7,7
2007-04-14,0,0,0,36,36
2007-04-15,0,0,0,35,35
2007-04-16,0,0,0,15,15
2007-04-17,0,0,0,33,33
2007-04-18,0,0,0,34,34
2007-04-19,0,0,0,31,31
2007-04-20,0,0,0,40,40
2007-04-21,0,0,0,54,54
2007-04-22,0,0,0,93,93
2007-04-23,0,0,0,12,12
2007-04-24,0,0,0,6,6
2007-04-25,0,0,0,4,4
2007-04-26,9,31,3,0,43
2007-04-27,0,0,0,9,9
2007-04-28,0,0,0,8,8
2007-04-29,0,0,0,27,27
2007-04-30,0,0,0,48,48
2007-05-01,0,0,0,102,102
2007-05-02,0,0,0,57,57
2007-05-03,0,0,0,58,58
2007-05-04,0,0,0,43,43
2007-05-05,0,0,0,51,51
2007-05-06,0,0,0,41,41
2007-05-07,0,0,0,15,15
2007-05-08,0,0,0,26,26
2007-05-09,0,0,0,79,79
2007-05-10,85,33,7,35,160
2007-05-11,18,11,2,147,178
2007-05-12,0,0,0,444,444
2007-05-13,0,0,0,355,355
2007-05-14,0,0,0,305,305
2007-05-15,0,0,0,217,217
2007-05-16,0,0,0,181,181
2007-05-17,0,0,0,35,35
2007-05-18,0,0,0,37,37
2007-05-19,0,0,0,68,68
2007-05-20,0,0,0,185,185
2007-05-21,0,0,0,52,52
2007-05-22,0,0,0,92,92
2007-05-23,0,0,0,135,135
2007-05-24,0,0,0,198,198
2007-05-25,0,0,0,202,202
2007-05-26,0,0,0,32,32
2007-05-27,0,0,0,38,38
2007-05-28,0,0,0,112,112
2007-05-29,0,0,0,26,26
2007-05-30,0,0,0,113,113
2007-05-31,0,0,0,5,5
2007-06-01,0,0,0,93,93
2007-06-02,0,0,0,27,27
2007-06-03,0,0,0,125,125
2007-06-04,0,0,0,192,192
2007-06-05,0,0,0,173,173
2007-06-06,0,0,0,59,59
2007-06-07,0,0,0,14,14
2007-06-08,0,0,0,22,22
2007-06-09,0,0,0,34,34
2007-06-10,0,0,0,20,20
2007-06-11,0,0,0,9,9
2007-06-12,0,0,0,5,5
2007-06-13,0,0,0,16,16
2007-06-14,0,0,0,35,35
2007-06-15,0,0,0,144,144
2007-06-16,0,0,0,98,98
2007-06-17,0,0,0,5,5
2007-06-18,0,0,0,66,66
2007-06-19,0,0,0,62,62
2007-06-20,0,0,0,178,178
2007-06-21,0,0,0,87,87
2007-06-22,0,0,0,24,24
2007-06-23,0,0,0,48,48
2007-06-24,0,0,0,35,35
2007-06-25,0,0,0,33,33
2007-06-26,0,0,0,34,34
2007-06-27,0,0,0,70,70
2007-06-28,0,0,0,67,67
2007-06-29,0,0,0,133,133
2007-06-30,0,0,0,143,143
2007-07-01,0,0,0,162,162
2007-07-02,0,0,0,114,114
2007-07-03,0,0,0,68,68
2007-07-04,0,0,0,107,107
2007-07-05,0,0,0,15,15
2007-07-06,0,0,0,23,23
2007-07-07,0,0,0,76,76
2007-07-08,0,0,0,113,113
2007-07-09,0,0,0,141,141
2007-07-10,0,0,0,194,194
2007-07-11,0,0,0,129,129
2007-07-12,0,0,0,104,104
2007-07-13,0,0,0,99,99
2007-07-14,0,0,0,154,154
2007-07-15,0,0,0,147,147
2007-07-16,0,0,0,179,179
2007-07-17,0,0,0,285,285
2007-07-18,0,0,0,254,254
2007-07-19,0,0,0,220,220
2007-07-20,0,0,0,54,54
2007-07-21,0,0,0,244,244
2007-07-22,0,0,0,266,266
2007-07-23,0,0,0,178,178
2007-07-24,0,0,0,324,324
2007-07-25,0,0,0,296,296
2007-07-26,0,0,0,170,170
2007-07-27,0,0,0,123,123
2007-07-28,0,0,0,101,101
2007-07-29,0,0,0,243,243
2007-07-30,0,0,0,266,266
2007-07-31,0,0,0,310,310
2007-08-01,0,0,0,257,257
2007-08-02,0,0,0,397,397
2007-08-03,0,0,0,422,422
2007-08-04,0,0,0,585,585
2007-08-05,0,0,0,522,522
2007-08-06,0,0,0,423,423
2007-08-07,0,0,0,366,366
2007-08-08,0,0,0,184,184
2007-08-09,0,0,0,202,202
2007-08-10,0,0,0,260,260
2007-08-11,0,0,0,312,312
2007-08-12,0,0,0,366,366
2007-08-13,0,0,0,305,305
2007-08-14,0,0,0,441,441
2007-08-15,0,0,0,425,425
2007-08-16,0,0,0,427,427
2007-08-17,0,0,0,468,468
2007-08-18,0,0,0,564,564
2007-08-19,0,0,0,378,378
2007-08-20,0,0,0,111,111
2007-08-21,0,0,0,31,31
2007-08-22,0,0,0,101,101
2007-08-23,0,0,0,61,61
2007-08-24,0,0,0,38,38
2007-08-25,0,0,0,96,96
2007-08-26,0,0,0,100,100
2007-08-27,0,0,0,100,100
2007-08-28,0,0,0,36,36
2007-08-29,0,0,0,73,73
2007-08-30,0,0,0,99,99
2007-08-31,0,0,0,131,131
2007-09-01,0,0,0,147,147
2007-09-02,0,0,0,150,150
2007-09-03,0,0,0,150,150
2007-09-04,0,0,0,321,321
2007-09-05,0,0,0,358,358
2007-09-06,0,0,0,328,328
2007-09-07,0,0,0,128,128
2007-09-08,0,0,0,32,32
2007-09-09,0,0,0,60,60
2007-09-10,0,0,0,64,64
2007-09-11,0,0,0,66,66
2007-09-12,0,0,0,101,101
2007-09-13,0,0,0,141,141
2007-09-14,0,0,0,245,245
2007-09-15,0,0,0,307,307
2007-09-16,0,0,0,247,247
2007-09-17,0,0,0,104,104
2007-09-18,0,0,0,4,4
2007-09-19,0,0,0,109,109
2007-09-20,0,0,0,134,134
2007-09-21,0,0,0,216,216
2007-09-22,0,0,0,27,27
2007-09-23,0,0,0,108,108
2007-09-24,0,0,0,179,179
2007-09-25,0,0,0,290,290
2007-09-26,0,0,0,5,5
2007-09-27,0,0,0,9,9
2007-09-28,0,0,0,5,5
2007-09-30,0,0,0,1,1
2007-10-01,0,0,0,2,2
2007-10-02,0,0,0,9,9
2007-10-03,0,0,0,9,9
2007-10-04,0,0,0,32,32
2007-10-06,0,0,0,3,3
2007-10-07,0,0,0,3,3
2007-10-08,0,0,0,2,2
2007-10-09,0,0,0,11,11
2007-10-10,0,0,0,2,2
2007-10-11,0,0,0,8,8
2007-10-12,0,0,0,8,8
2007-10-13,0,0,0,1,1
2007-10-14,0,0,0,2,2
2007-10-15,0,0,0,6,6
2007-10-16,0,0,0,2,2
2007-10-19,0,0,0,2,2
2007-10-20,0,0,0,1,1
2007-10-21,0,0,0,9,9
2007-10-22,0,0,0,14,14
2007-10-23,0,0,0,20,20
2007-10-24,0,0,0,28,28
2007-10-25,0,0,0,45,45
2007-10-26,0,0,0,44,44
2007-10-27,0,0,0,45,45
2007-10-28,0,0,0,59,59
2007-10-29,0,0,0,114,114
2007-10-30,0,0,0,23,23
2007-10-31,0,0,0,14,14
2007-11-01,8,0,0,1,9
2007-11-02,3,0,0,1,4
2007-11-03,0,0,0,3,3
2007-11-04,0,0,0,2,2
2007-11-05,0,0,0,1,1
2007-11-06,0,0,0,3,3
2007-11-07,0,0,0,3,3
2007-11-08,0,0,0,3,3
2007-11-09,0,0,0,3,3
2007-11-10,0,0,0,3,3
2007-11-11,0,0,0,2,2
2007-11-12,0,0,0,1,1
2007-11-13,0,0,0,1,1
2007-11-14,0,0,0,3,3
2007-11-15,0,0,0,4,4
2007-11-16,0,0,0,2,2
2007-11-19,0,0,0,4,4
2007-11-20,0,0,0,1,1
2007-11-21,0,0,0,1,1
2007-11-23,0,0,0,2,2
2007-11-24,0,0,0,5,5
2007-11-25,0,0,0,1,1
2007-11-26,0,0,0,2,2
2007-11-27,0,0,0,5,5
2007-11-28,0,0,0,3,3
2007-11-29,0,0,0,1,1
2007-11-30,0,0,0,1,1
2007-12-01,0,0,0,4,4
2007-12-02,0,0,0,2,2
2007-12-03,0,0,0,2,2
2007-12-04,0,0,0,2,2
2007-12-05,0,0,0,8,8
2007-12-06,0,0,0,4,4
2007-12-07,0,0,0,1,1
2007-12-13,0,0,0,1,1
2007-12-16,0,0,0,1,1
2007-12-17,0,0,0,1,1
2007-12-22,0,0,0,1,1
2007-12-30,0,0,0,1,1
2008-01-03,0,0,0,1,1
2008-01-06,0,0,0,1,1
2008-01-07,0,0,0,1,1
2008-01-10,0,0,0,1,1
2008-01-11,0,0,0,3,3
2008-01-12,0,0,0,3,3
2008-01-13,0,0,0,1,1
2008-01-14,0,0,0,2,2
2008-01-15,0,0,0,2,2
2008-01-17,0,0,0,1,1
2008-01-19,0,0,0,5,5
2008-01-26,0,0,0,1,1
2008-01-27,0,0,0,1,1
2008-01-28,0,0,0,2,2
2008-01-29,0,0,0,7,7
2008-01-30,0,0,0,2,2
2008-01-31,0,0,0,7,7
2008-02-01,0,0,0,6,6
2008-02-03,0,0,0,2,2
2008-02-04,0,0,0,3,3
2008-02-05,0,0,0,2,2
2008-02-06,0,0,0,2,2
2008-02-08,0,0,0,11,11
2008-02-09,0,0,0,1,1
2008-02-10,0,0,0,1,1
2008-02-11,0,0,0,3,3
2008-02-12,0,0,0,1,1
2008-02-13,0,0,0,6,6
2008-02-14,0,0,0,4,4
2008-02-17,0,0,0,1,1
2008-02-18,0,0,0,1,1
2008-02-19,0,0,0,1,1
2008-02-20,0,0,0,1,1
2008-02-23,0,0,0,5,5
2008-02-24,0,0,0,6,6
2008-02-25,0,0,0,5,5
2008-02-28,0,0,0,10,10
2008-02-29,0,0,0,1,1
2008-03-01,0,0,0,4,4
2008-03-02,0,0,0,16,16
2008-03-03,0,0,0,13,13
2008-03-06,0,0,0,2,2
2008-03-08,0,0,0,3,3
2008-03-10,0,0,0,9,9
2008-03-11,0,0,0,9,9
2008-03-12,0,0,0,17,17
2008-03-13,0,0,0,2,2
2008-03-14,0,0,0,6,6
2008-03-15,0,0,0,37,37
2008-03-16,0,0,0,45,45
2008-03-17,0,0,0,1,1
2008-03-18,0,0,0,9,9
2008-03-19,0,0,0,1,1
2008-03-20,0,0,0,5,5
2008-03-21,0,0,0,10,10
2008-03-22,0,0,0,29,29
2008-03-23,0,0,0,33,33
2008-03-24,0,0,0,19,19
2008-03-25,0,0,0,7,7
2008-03-26,0,0,0,10,10
2008-03-27,0,0,0,5,5
2008-03-29,0,0,0,2,2
2008-04-01,0,0,0,25,25
2008-04-02,0,0,0,5,5
2008-04-03,0,0,0,3,3
2008-04-04,0,0,0,9,9
2008-04-05,0,0,0,23,23
2008-04-06,0,0,0,18,18
2008-04-07,0,0,0,3,3
2008-04-08,0,0,0,5,5
2008-04-10,0,0,0,1,1
2008-04-11,0,1,0,0,1
2008-04-12,17,0,0,0,17
2008-04-13,3,2,0,0,5
2008-04-14,24,2,0,0,26
2008-04-15,69,16,0,0,85
2008-04-16,11,0,0,0,11
2008-04-17,6,1,1,0,8
2008-04-18,20,1,0,0,21
2008-04-19,25,2,0,0,27
2008-04-20,12,4,0,0,16
